['']	3843
['lat']	1160
['deu']	471
['ell']	361
['deu', 'lat']	336
['lat', 'ell']	333
['fra', 'lat']	277
['eng']	230
['deu', 'fra', 'lat']	189
['fra']	146
['deu', 'lat', 'ell']	127
['ita', 'lat']	117
['deu', 'fra']	68
['eng', 'lat']	59
['deu', 'ita', 'lat']	58
['rus']	54
['fra', 'ell']	52
['gmh']	50
['ita']	44
['deu', 'eng']	41
['pol']	41
['eng', 'fra', 'lat']	37
['fra', 'fro', 'lat']	37
['eng', 'fro', 'lat']	37
['deu', 'ell']	35
['deu', 'fra', 'ita', 'lat']	33
['fra', 'lat', 'ell']	29
['eng', 'deu']	28
['lat', 'deu']	27
['fra', 'ita', 'lat']	26
['spa']	26
['deu', 'fra', 'fro', 'lat']	23
['deu', 'ita']	23
['deu', 'fra', 'ell']	22
['hun']	22
['gmh', 'lat']	21
['deu', 'ine']	21
['deu', 'fra', 'lat', 'ell']	19
['eng', 'ell']	17
['spa', 'lat']	17
['ell', 'lat']	16
['hsb']	15
['lat', 'ine']	14
['gmh', 'lat', 'ell']	13
['lit']	13
['deu', 'eng', 'lat']	13
['fra', 'eng', 'lat']	13
['deu', 'fra', 'ita']	12
['fra', 'ita']	12
['deu', 'goh']	12
['ara']	11
['deu', 'gmh']	11
['deu', 'fro', 'lat']	11
['lat', 'ell', 'heb']	10
['por']	10
['jpn']	10
['gmh', 'deu']	10
['fra', 'gem']	9
['ita', 'lat', 'ell']	9
['fra', 'deu', 'lat']	9
['eng', 'fra']	8
['lat', 'fra']	8
['pol', 'deu']	8
['fra', 'fro']	7
['heb']	7
['slk']	7
['fra', 'deu']	7
['lat', 'eng']	7
['deu', 'ita', 'lat', 'ell']	7
['deu', 'goh', 'lat']	7
['deu', 'eng', 'fra', 'lat']	7
['deu', 'nld']	7
['ell', 'lat', 'deu', 'ine']	6
['eng', 'fro']	6
['deu', 'eng', 'fra']	6
['deu', 'eng', 'ine']	6
['eng', 'lat', 'ell']	6
['lat', 'deu', 'ell']	6
['deu', 'heb']	6
['fra', 'ara']	5
['deu', 'ara']	5
['goh', 'lat', 'ell']	5
['deu', 'fra', 'ita', 'lat', 'ell']	5
['gmh', 'eng']	5
['tur', 'ara']	5
['deu', 'gem']	5
['fra', 'eng', 'ell']	5
['eng', 'ang']	5
['gmh', 'ine']	5
['eng', 'spa']	5
['dsb ', ' hsb']	5
['deu', 'fra', 'fro']	4
['lat', 'ell', 'ine']	4
['fra', 'ita', 'lat', 'ell']	4
['fra', 'gem', 'deu']	4
['deu', 'fra', 'spa']	4
